transaction_id,agency,transaction_type,vendor_or_employee,amount,transaction_date,status,error_flag,anomaly
3326,Transportation,Payroll,"Jackson, Smith and Glenn",2943.15,2024-11-14,Rejected,False,-1
3381,Transportation,Benefits,"Williams, Contreras and Barnes",499184.85,2026-02-02,Approved,False,-1
3417,Education,Benefits,Brown-Deleon,499766.76,2025-09-01,Rejected,False,-1
3507,Education,Inspection,Nelson-Morris,3137.74,2024-10-09,Rejected,False,-1
3564,Defense,Payroll,"Edwards, Maldonado and Hartman",1241.22,2024-06-17,Approved,False,-1
3679,Education,Payroll,Martinez Inc,2083.33,2024-12-30,Approved,False,-1
4054,Education,Procurement,"Green, Smith and Jenkins",2158.54,2025-12-28,Pending,False,-1
4061,Transportation,Procurement,"Smith, Martin and Stark",228.4,2024-05-20,Pending,False,-1
4083,Transportation,Payroll,Montgomery PLC,498652.17,2024-04-19,Pending,False,-1
4223,Defense,Benefits,Neal PLC,2585.89,2025-08-06,Rejected,False,-1
4299,Defense,Inspection,"Wilson, Jones and Sanchez",2651.71,2024-10-26,Rejected,False,-1
4307,Defense,Procurement,Pennington PLC,2931.15,2026-01-01,Pending,False,-1
4391,Transportation,Benefits,Davis-Stephens,498917.81,2025-11-11,Approved,False,-1
4521,Transportation,Benefits,King-Baker,498144.51,2025-04-17,Approved,False,-1
4543,Transportation,Benefits,"Anderson, Rogers and Green",499147.51,2025-05-09,Rejected,False,-1
4676,Health,Procurement,Yoder-Price,498792.17,2025-06-29,Pending,False,-1
4736,Health,Payroll,White Group,1304.85,2024-11-18,Approved,False,-1
5048,Health,Payroll,"Johnson, Richardson and Collins",2233.1,2024-07-08,Pending,False,-1
5081,Transportation,Payroll,"Wise, Thomas and Vega",400.32,2025-10-09,Rejected,False,-1
5400,Transportation,Benefits,"Martin, Edwards and Orr",2485.38,2024-07-18,Approved,False,-1
5486,Transportation,Payroll,Shields-Brown,2285.68,2025-11-19,Rejected,False,-1
5495,Defense,Inspection,"Patrick, Lynch and Estes",157.07,2024-04-09,Rejected,False,-1
5512,Transportation,Benefits,Tyler PLC,249.56,2025-02-04,Pending,False,-1
5638,Health,Inspection,"Hunt, Garcia and Hardin",497944.1,2025-06-03,Pending,False,-1
5690,Health,Procurement,Young Ltd,498170.32,2024-12-23,Approved,False,-1
5765,Health,Inspection,"Smith, Jones and Cook",1534.6,2025-01-19,Approved,False,-1
5774,Transportation,Benefits,"Larson, Nguyen and Stark",1673.56,2024-08-26,Approved,False,-1
5868,Health,Payroll,"Peck, Hernandez and Davis",499486.31,2024-07-18,Pending,False,-1
5902,Health,Procurement,Reyes-Dorsey,498447.06,2025-10-20,Rejected,False,-1
6041,Transportation,Benefits,Wilson-Guzman,2487.46,2024-04-08,Pending,False,-1
6676,Education,Benefits,"Hawkins, Strickland and Pena",2878.82,2024-07-07,Rejected,False,-1
6768,Health,Payroll,"Dalton, Rivera and Johnson",498927.23,2026-02-01,Pending,False,-1
6808,Defense,Inspection,Morton-Garrett,499394.76,2024-03-13,Pending,False,-1
6892,Defense,Procurement,"Salazar, Mason and Arnold",499972.7,2025-11-12,Pending,False,-1
6950,Defense,Procurement,Howell-Moore,1566.67,2025-11-23,Approved,False,-1
7030,Education,Procurement,Henderson-Williams,1975.34,2025-11-07,Rejected,False,-1
7045,Transportation,Inspection,Silva-Pham,1102.09,2025-09-04,Pending,False,-1
7523,Transportation,Inspection,Patrick-Scott,470.78,2025-06-30,Approved,False,-1
7625,Defense,Payroll,Carter-Harding,3007.9,2024-11-19,Rejected,False,-1
7954,Defense,Benefits,Jones Ltd,499800.88,2025-08-15,Pending,False,-1
7987,Health,Procurement,"Francis, Miller and Banks",499621.77,2024-05-06,Rejected,False,-1
8019,Defense,Inspection,Keller LLC,499379.17,2025-01-05,Approved,False,-1
8147,Health,Inspection,"Wilson, Moore and Hudson",1333.85,2025-10-06,Approved,False,-1
8191,Defense,Payroll,Clark-Jackson,498641.05,2024-06-19,Approved,False,-1
8192,Transportation,Benefits,Ramirez PLC,498828.22,2024-09-01,Rejected,False,-1
8241,Health,Procurement,Downs Ltd,499533.14,2025-01-24,Rejected,False,-1
8248,Defense,Inspection,"Long, Morgan and Davidson",499770.41,2025-11-01,Approved,False,-1
8260,Transportation,Procurement,Schultz-Horn,498116.41,2024-11-10,Pending,False,-1
8337,Transportation,Payroll,"Henry, Smith and Garcia",498746.95,2024-06-15,Rejected,False,-1
8355,Health,Procurement,"Calderon, Whitaker and Olsen",497895.29,2024-06-11,Pending,False,-1
8482,Transportation,Procurement,"Smith, Mendoza and Hart",1108.41,2025-06-16,Approved,False,-1
8627,Education,Benefits,"Barr, Gomez and Kim",1357.11,2025-10-16,Rejected,False,-1
8629,Education,Payroll,Bolton Group,1374.66,2024-06-14,Approved,False,-1
8767,Defense,Inspection,Schroeder LLC,498903.19,2025-08-09,Pending,False,-1
8839,Education,Benefits,Williams-Barrett,2484.71,2024-08-11,Pending,False,-1
8870,Health,Procurement,"Smith, Nelson and Allen",2046.89,2024-07-02,Approved,False,-1
9020,Education,Inspection,Dennis and Sons,2104.0,2025-09-06,Pending,False,-1
9259,Defense,Procurement,Simpson-Wagner,498677.92,2025-05-31,Approved,False,-1
9495,Health,Inspection,Brown Inc,499363.3,2025-08-21,Pending,False,-1
9497,Defense,Procurement,"Pham, Cooley and Powell",498821.72,2025-02-07,Rejected,False,-1
9503,Health,Benefits,"Washington, Logan and Gallagher",498976.35,2025-07-17,Rejected,False,-1
9643,Health,Inspection,"Tran, Powell and Hood",498410.77,2024-04-11,Pending,False,-1
9721,Defense,Benefits,Jones-Mitchell,497934.79,2025-05-18,Approved,False,-1
10010,Transportation,Benefits,Keller and Sons,2542.83,2024-03-31,Approved,False,-1
10060,Transportation,Benefits,Lopez-Huynh,499929.88,2025-12-31,Rejected,False,-1
10149,Health,Procurement,Melendez-Romero,499619.03,2025-03-05,Approved,False,-1
10208,Transportation,Benefits,George LLC,498188.86,2024-05-09,Pending,False,-1
10311,Transportation,Payroll,"Parks, Macias and Baker",498101.42,2025-10-08,Approved,False,-1
10349,Health,Inspection,Colon Inc,2097.66,2025-09-08,Pending,False,-1
10411,Health,Inspection,Edwards and Sons,498669.69,2025-09-11,Pending,False,-1
10493,Education,Benefits,Rodriguez PLC,498067.85,2025-10-24,Rejected,False,-1
10614,Defense,Payroll,Turner-Hawkins,1296.51,2024-07-07,Rejected,False,-1
10640,Defense,Benefits,"Gentry, Tucker and Becker",499697.83,2025-01-07,Rejected,False,-1
10653,Education,Benefits,Freeman and Sons,1207.88,2025-03-12,Pending,False,-1
10793,Defense,Payroll,"Edwards, Archer and Brown",1692.74,2024-04-04,Approved,False,-1
10921,Education,Benefits,Blair PLC,499209.91,2024-08-05,Rejected,False,-1
11121,Transportation,Benefits,Cole-Thomas,1456.29,2024-09-03,Pending,False,-1
11383,Defense,Procurement,Walker-Andrews,499253.48,2024-10-01,Rejected,False,-1
11513,Health,Inspection,Navarro and Sons,1985.83,2025-10-19,Approved,False,-1
11773,Health,Payroll,Williamson Group,499111.09,2025-04-19,Approved,False,-1
11978,Defense,Procurement,Green and Sons,1056.82,2024-03-19,Pending,False,-1
12014,Education,Payroll,Holloway-Rogers,499884.33,2025-10-23,Approved,False,-1
12086,Defense,Procurement,Bennett-Becker,2962.41,2025-12-17,Approved,False,-1
12129,Education,Procurement,"Burton, King and Walker",2095.29,2024-07-16,Rejected,False,-1
12151,Health,Payroll,"Cruz, White and Young",499571.52,2025-09-25,Approved,False,-1
12166,Education,Inspection,"Mills, Williams and Ortega",2997.74,2024-11-11,Pending,False,-1
12281,Education,Payroll,Merritt-Davis,2846.84,2024-11-02,Pending,False,-1
12302,Health,Benefits,"Irwin, Johnson and Reeves",2126.24,2025-10-27,Rejected,False,-1
12345,Education,Inspection,Humphrey-White,499791.24,2024-12-28,Approved,False,-1
12370,Education,Procurement,Medina and Sons,728.55,2024-02-23,Pending,False,-1
12402,Education,Benefits,"Price, Abbott and Williams",256.18,2025-08-30,Rejected,False,-1
12526,Transportation,Benefits,Salazar-Clark,497922.37,2025-08-16,Approved,False,-1
12559,Defense,Benefits,Wang-Mcgee,1506.52,2024-10-06,Pending,False,-1
12578,Transportation,Inspection,Owens-Guzman,499412.97,2025-08-19,Rejected,False,-1
13040,Education,Procurement,"Bowers, Garcia and Hall",498141.1,2024-09-22,Approved,False,-1
13156,Education,Procurement,Cherry-Taylor,498997.1,2025-09-10,Pending,False,-1
13186,Health,Payroll,"Orr, Pope and York",611.76,2024-02-29,Rejected,False,-1
13208,Health,Payroll,"Sims, Richard and Wade",187.56,2025-09-18,Rejected,False,-1
13310,Education,Procurement,Arias-Spears,2121.78,2024-03-05,Approved,False,-1
13443,Health,Procurement,Kerr Group,1489.18,2025-07-25,Approved,False,-1
13541,Defense,Benefits,"Jackson, Larson and Lang",499349.82,2025-02-24,Pending,False,-1
13562,Health,Procurement,Koch Inc,499586.73,2025-06-27,Rejected,False,-1
13693,Defense,Inspection,Jackson-Carson,610.18,2025-02-02,Approved,False,-1
13710,Transportation,Benefits,"Merritt, Jenkins and Nelson",419.81,2024-06-05,Rejected,False,-1
13736,Transportation,Procurement,Moore-Harding,432.59,2026-01-17,Approved,False,-1
14006,Health,Procurement,"Ruiz, White and Mann",499975.49,2024-04-17,Pending,False,-1
14184,Defense,Payroll,Savage-Bridges,499881.51,2024-12-04,Rejected,False,-1
14321,Health,Benefits,Duncan LLC,2912.35,2025-08-03,Rejected,False,-1
14417,Transportation,Inspection,Ibarra-Powell,498947.55,2025-06-28,Pending,False,-1
14634,Defense,Inspection,Adams Group,499265.14,2024-02-16,Rejected,False,-1
14660,Education,Procurement,Burgess PLC,325.5,2025-05-13,Pending,False,-1
14694,Defense,Benefits,"Singleton, Mcfarland and Cooper",914.93,2025-08-23,Pending,False,-1
14718,Health,Payroll,"Vance, Smith and Clayton",693.58,2024-07-22,Rejected,False,-1
14727,Transportation,Procurement,Green-Garcia,3154.41,2025-05-05,Pending,False,-1
14816,Defense,Payroll,Lang Ltd,451.27,2025-03-29,Approved,False,-1
14957,Education,Inspection,Clark-Austin,792.04,2024-11-18,Rejected,False,-1
15148,Health,Procurement,Mcdaniel Group,498573.02,2025-01-20,Rejected,False,-1
15182,Transportation,Procurement,Conway Inc,498580.58,2024-06-07,Rejected,False,-1
15277,Health,Inspection,Burns-Zuniga,498095.38,2024-12-13,Pending,False,-1
15461,Education,Payroll,"James, Phillips and Dickson",498302.47,2025-08-05,Pending,False,-1
15520,Defense,Payroll,"Duarte, Parker and White",499541.64,2024-09-04,Approved,False,-1
15601,Health,Payroll,Novak LLC,498922.21,2024-05-03,Pending,False,-1
15655,Health,Benefits,"Gallagher, Pierce and Jenkins",499094.43,2025-05-13,Rejected,False,-1
15665,Education,Payroll,"Nelson, Medina and Hall",1235.89,2025-10-19,Approved,False,-1
15768,Education,Inspection,Nichols and Sons,2616.53,2025-12-01,Pending,False,-1
15867,Defense,Benefits,Moran Inc,1185.05,2024-08-18,Approved,False,-1
15934,Defense,Procurement,Jimenez-Sullivan,1769.07,2024-03-16,Approved,False,-1
15981,Education,Procurement,Anthony-Reeves,2814.24,2024-06-23,Rejected,False,-1
16022,Defense,Procurement,Martinez PLC,2756.85,2024-02-17,Pending,False,-1
16046,Health,Inspection,"Davis, Mclaughlin and Rangel",499344.14,2024-05-25,Pending,False,-1
16413,Education,Inspection,Williams LLC,2681.12,2024-06-28,Rejected,False,-1
16460,Defense,Inspection,Barrett-Evans,499358.36,2025-06-09,Rejected,False,-1
16540,Education,Benefits,Guzman and Sons,1322.48,2025-07-03,Pending,False,-1
16547,Transportation,Inspection,Smith-Mooney,499972.87,2025-09-11,Rejected,False,-1
16554,Health,Payroll,Meyers Ltd,2719.56,2024-10-04,Pending,False,-1
16646,Defense,Procurement,Simmons Ltd,499813.43,2024-03-30,Approved,False,-1
16650,Defense,Procurement,"Alvarado, Anderson and Taylor",136.28,2024-04-07,Rejected,False,-1
16719,Defense,Procurement,Harris Group,498774.84,2025-04-15,Approved,False,-1
16853,Education,Benefits,"Watson, Lowe and Campbell",498405.09,2025-11-09,Rejected,False,-1
17006,Health,Payroll,Rogers LLC,498513.8,2026-02-06,Approved,False,-1
17081,Education,Procurement,Higgins-Spence,910.99,2025-12-20,Pending,False,-1
17113,Education,Procurement,Thompson and Sons,498745.9,2025-09-20,Approved,False,-1
17205,Defense,Inspection,Montgomery and Sons,499281.14,2024-04-21,Pending,False,-1
17232,Health,Inspection,Acosta-Campbell,499752.05,2024-06-29,Rejected,False,-1
17281,Transportation,Benefits,Fritz-Sparks,568.98,2024-04-10,Pending,False,-1
17437,Transportation,Benefits,Scott LLC,2085.49,2025-07-03,Approved,False,-1
17489,Education,Inspection,Chen-Mclaughlin,498999.45,2025-03-09,Rejected,False,-1
17656,Defense,Benefits,Faulkner-Obrien,1163.87,2024-10-13,Pending,False,-1
17742,Transportation,Benefits,Smith-Day,498904.32,2025-12-11,Rejected,False,-1
17774,Health,Inspection,Hopkins-Morgan,705.22,2025-11-25,Rejected,False,-1
18087,Health,Inspection,Bright and Sons,992.39,2024-11-08,Pending,False,-1
18155,Health,Procurement,West Ltd,2650.52,2024-10-29,Approved,False,-1
18226,Education,Inspection,"Wood, Kelly and Russell",498122.71,2024-02-19,Approved,False,-1
18283,Transportation,Inspection,Hill-Smith,2469.89,2025-02-03,Pending,False,-1
18310,Education,Payroll,Lewis-Rivera,499493.97,2025-05-17,Approved,False,-1
18326,Defense,Inspection,"Williams, King and Huber",2751.54,2025-03-15,Approved,False,-1
18653,Education,Procurement,Young PLC,3016.2,2024-03-27,Rejected,False,-1
18695,Defense,Benefits,Kelly-Peters,498276.95,2025-12-23,Pending,False,-1
18726,Transportation,Inspection,"Chan, Gonzales and Williams",160.0,2026-01-19,Pending,False,-1
18788,Health,Inspection,"Campbell, Clark and Wilkins",498789.71,2025-01-12,Approved,False,-1
18918,Health,Inspection,"Knight, Burns and Chavez",498540.97,2024-06-06,Approved,False,-1
19041,Defense,Benefits,Miller-Bradshaw,498199.96,2026-01-10,Pending,False,-1
19058,Defense,Benefits,"Woods, Ortiz and Davenport",499548.7,2024-02-13,Approved,False,-1
19107,Education,Benefits,Murray Ltd,499620.87,2025-11-30,Rejected,False,-1
19168,Education,Benefits,Walters LLC,333.2,2024-04-28,Rejected,False,-1
19178,Education,Payroll,Jordan Inc,498944.14,2025-12-04,Rejected,False,-1
19253,Health,Procurement,Lamb LLC,2939.63,2024-12-01,Pending,False,-1
19260,Transportation,Procurement,Baker Inc,2108.57,2025-04-01,Rejected,False,-1
19590,Education,Inspection,Greer-Arnold,1625.99,2025-11-17,Pending,False,-1
19861,Transportation,Benefits,Smith Inc,291.86,2025-02-26,Approved,False,-1
19890,Health,Payroll,Baldwin and Sons,2535.73,2024-06-30,Approved,False,-1
19914,Health,Benefits,"Hall, Simpson and Bell",498791.15,2024-06-20,Rejected,False,-1
19947,Defense,Payroll,"Dawson, Hampton and Romero",2561.79,2026-01-11,Pending,False,-1
19990,Transportation,Payroll,"Page, Garcia and Butler",498486.78,2025-03-02,Approved,False,-1
20007,Health,Procurement,Hopkins Group,498043.41,2024-08-07,Approved,False,-1
20050,Education,Payroll,Medina LLC,2730.34,2025-07-29,Rejected,False,-1
20132,Defense,Benefits,Bird-Andrews,2537.18,2024-11-29,Approved,False,-1
20133,Defense,Inspection,Bailey Ltd,1839.63,2025-11-25,Rejected,False,-1
20273,Defense,Payroll,Carter-Robinson,499067.95,2024-09-05,Pending,False,-1
20305,Defense,Inspection,Richard-Snyder,499635.22,2025-10-26,Rejected,False,-1
20417,Education,Inspection,Cameron-Thomas,1150.36,2025-07-14,Pending,False,-1
20455,Transportation,Benefits,"Gibson, Campbell and Jackson",2657.08,2024-03-08,Pending,False,-1
20478,Defense,Benefits,Harper Group,497964.69,2025-02-27,Pending,False,-1
20521,Health,Benefits,"Whitaker, Hanson and Whitehead",1813.65,2024-10-13,Rejected,False,-1
20538,Transportation,Payroll,Kline-West,499987.92,2025-09-10,Approved,False,-1
20550,Defense,Procurement,Salinas-Hodge,679.7,2025-09-30,Rejected,False,-1
20822,Defense,Inspection,"Carson, Holmes and Jacobs",499079.29,2025-02-02,Rejected,False,-1
21064,Education,Procurement,Chambers-Knight,1750.79,2024-08-12,Approved,False,-1
21067,Defense,Payroll,"Foley, Davis and Ramos",834.39,2025-10-01,Approved,False,-1
21240,Health,Benefits,Ramirez-Ayala,1362.03,2024-02-19,Approved,False,-1
21864,Health,Procurement,Williams Inc,498368.77,2025-05-15,Approved,False,-1
21911,Education,Benefits,"Rowe, Day and Harris",2484.11,2025-01-04,Approved,False,-1
21940,Defense,Inspection,Frazier LLC,498656.47,2025-05-21,Approved,False,-1
21948,Education,Procurement,Gilbert-Mason,2414.12,2024-10-29,Approved,False,-1
22138,Defense,Procurement,Salinas Inc,1279.54,2025-06-02,Approved,False,-1
22346,Education,Procurement,Curry-Bridges,1970.62,2024-09-10,Pending,False,-1
22356,Health,Inspection,Carney PLC,499738.7,2026-01-10,Rejected,False,-1
22660,Education,Inspection,Werner-Wright,498508.77,2024-11-29,Pending,False,-1
22695,Education,Benefits,"Tucker, Brown and Sharp",1867.69,2026-01-01,Approved,False,-1
22732,Transportation,Benefits,Oliver-Morse,499561.67,2024-02-15,Rejected,False,-1
22797,Transportation,Procurement,"Hensley, Flynn and Sanchez",498888.12,2025-03-16,Pending,False,-1
22800,Transportation,Inspection,Wagner LLC,1236.3,2024-11-14,Pending,False,-1
22880,Defense,Benefits,Moore-Owen,499885.38,2026-02-05,Approved,False,-1
22968,Education,Procurement,"Ross, Carroll and Juarez",499183.82,2025-08-26,Pending,False,-1
22989,Education,Inspection,King and Sons,875.23,2024-04-26,Pending,False,-1
23192,Education,Inspection,White Inc,1971.56,2025-10-22,Pending,False,-1
23295,Education,Inspection,Potter-Marshall,499878.69,2025-12-15,Pending,False,-1
23368,Education,Payroll,Johns-Massey,499064.18,2024-03-02,Approved,False,-1
23503,Education,Benefits,Reid and Sons,134.3,2025-07-31,Pending,False,-1
23540,Defense,Benefits,"Valdez, Clark and Howard",499240.46,2024-07-03,Rejected,False,-1
23589,Education,Benefits,"Clark, Rodriguez and Wilson",499518.5,2025-03-31,Approved,False,-1
23595,Education,Payroll,Elliott-Reed,497935.02,2025-10-07,Approved,False,-1
23674,Health,Procurement,Lewis PLC,2072.68,2024-02-12,Approved,False,-1
23678,Health,Payroll,Moses-Green,1558.49,2025-11-11,Pending,False,-1
23870,Education,Procurement,Smith Ltd,470.83,2025-08-18,Rejected,False,-1
23885,Defense,Benefits,"Miles, Vaughn and Fowler",1465.56,2024-10-14,Pending,False,-1
24143,Health,Payroll,"Martinez, Lynn and West",499374.8,2025-12-16,Approved,False,-1
24203,Education,Payroll,Robertson-Mullen,1945.54,2024-09-10,Approved,False,-1
24251,Health,Inspection,Garza Group,953.68,2024-09-08,Approved,False,-1
24389,Education,Inspection,Chambers PLC,498829.34,2024-08-15,Pending,False,-1
24487,Health,Payroll,Robertson and Sons,2914.27,2024-02-11,Rejected,False,-1
24900,Transportation,Payroll,Olson-Green,2127.61,2025-04-23,Pending,False,-1
24962,Defense,Procurement,Wong PLC,499216.67,2025-08-06,Approved,False,-1
25163,Transportation,Payroll,Reed PLC,498159.27,2024-12-06,Rejected,False,-1
25191,Defense,Inspection,"Hernandez, Terry and Coleman",1887.0,2026-01-13,Pending,False,-1
25192,Defense,Payroll,Smith-Alvarado,584.35,2025-05-09,Approved,False,-1
25201,Transportation,Procurement,"Ward, Keller and Watson",1599.87,2024-06-25,Rejected,False,-1
25230,Transportation,Benefits,Long-Olson,498710.33,2024-07-15,Pending,False,-1
25420,Defense,Payroll,Bennett-Kelly,499462.04,2024-06-21,Rejected,False,-1
25671,Defense,Inspection,"Wolf, Santiago and Lee",2551.88,2025-06-17,Pending,False,-1
25887,Health,Inspection,"Henderson, Ibarra and Ayala",454.91,2024-11-27,Rejected,False,-1
26120,Health,Benefits,Kelly PLC,499849.41,2024-09-30,Rejected,False,-1
26224,Education,Payroll,West PLC,499568.28,2025-07-10,Pending,False,-1
26324,Defense,Payroll,"Rodriguez, Mejia and Orr",2674.31,2024-10-02,Rejected,False,-1
26430,Defense,Inspection,Wade-Rogers,498554.74,2024-12-14,Rejected,False,-1
26527,Health,Benefits,"Pace, Huffman and Banks",206.02,2024-03-01,Approved,False,-1
26578,Transportation,Payroll,Brown-Smith,603.44,2025-08-17,Pending,False,-1
26622,Health,Payroll,Ferrell-Moore,498455.46,2024-02-26,Approved,False,-1
26685,Education,Procurement,Bailey-Vega,1088.74,2024-04-12,Pending,False,-1
26705,Transportation,Procurement,Scott-Sandoval,1937.58,2025-08-25,Approved,False,-1
26902,Transportation,Benefits,Ross-Patel,2330.87,2025-06-20,Rejected,False,-1
27083,Education,Benefits,Jackson Group,498917.03,2025-03-30,Approved,False,-1
27143,Defense,Inspection,"Lewis, Mcneil and Thomas",499506.68,2025-02-04,Pending,False,-1
27170,Health,Procurement,"Fitzgerald, James and Ortega",1179.88,2024-06-26,Rejected,False,-1
27190,Education,Procurement,"Thompson, Fisher and Gardner",214.68,2025-11-07,Approved,False,-1
27332,Health,Benefits,Cohen Inc,498335.85,2025-03-05,Rejected,False,-1
27416,Health,Payroll,Thompson Ltd,498551.01,2025-02-15,Rejected,False,-1
27445,Transportation,Inspection,Lloyd Group,498958.29,2025-06-04,Approved,False,-1
27579,Education,Inspection,Byrd Inc,499467.57,2025-12-12,Pending,False,-1
27583,Health,Procurement,"Doyle, Carter and Sullivan",1160.51,2025-06-09,Pending,False,-1
27842,Transportation,Inspection,Ford-Sanchez,444.29,2024-06-05,Approved,False,-1
27876,Defense,Inspection,"Yang, Frederick and Marquez",1569.88,2024-08-16,Pending,False,-1
27929,Defense,Payroll,"Calderon, Boyd and Cohen",2066.01,2025-08-04,Pending,False,-1
27962,Education,Procurement,Bryan Inc,499234.45,2024-07-12,Pending,False,-1
28035,Defense,Procurement,Chase-Wilson,499310.52,2025-05-26,Pending,False,-1
28245,Defense,Procurement,Gibbs-Lopez,1300.4,2025-01-01,Approved,False,-1
28310,Defense,Inspection,Sanchez-Alvarez,1873.12,2024-09-28,Approved,False,-1
28422,Education,Inspection,Rice-Johnson,380.69,2024-06-11,Rejected,False,-1
28585,Transportation,Inspection,"Hunter, Diaz and Castaneda",1194.3,2024-12-03,Rejected,False,-1
28606,Defense,Inspection,Carter-Harris,498623.73,2024-12-13,Pending,False,-1
28776,Health,Inspection,"Bell, Johnston and Ramos",1857.55,2025-01-15,Pending,False,-1
28790,Defense,Procurement,Barker LLC,2391.74,2025-11-10,Pending,False,-1
28883,Defense,Benefits,Summers-Ho,2434.61,2024-04-01,Approved,False,-1
28937,Education,Payroll,"Anderson, Gamble and Warren",1966.99,2024-11-03,Pending,False,-1
28940,Transportation,Inspection,Barton-Torres,759.22,2025-07-15,Rejected,False,-1
29092,Health,Inspection,Hernandez-Lester,2670.49,2024-06-03,Approved,False,-1
29169,Transportation,Procurement,"Vega, Mclean and Harrison",499395.22,2024-12-13,Pending,False,-1
29219,Health,Procurement,"Morris, Harris and Carr",498347.17,2024-04-03,Rejected,False,-1
29358,Health,Benefits,"Stewart, Meza and Little",3012.71,2025-11-29,Pending,False,-1
29458,Education,Payroll,Gonzalez LLC,2187.28,2024-07-20,Approved,False,-1
29625,Health,Payroll,Price-Lambert,1516.13,2025-06-09,Pending,False,-1
30102,Defense,Payroll,Higgins PLC,1278.64,2024-10-01,Pending,False,-1
30185,Education,Procurement,Massey-Williams,499823.48,2024-09-28,Pending,False,-1
30262,Defense,Procurement,Carpenter-Gray,498962.0,2025-08-13,Approved,False,-1
30303,Health,Inspection,"Moore, Wheeler and Mccall",499394.84,2025-04-07,Rejected,False,-1
30348,Education,Inspection,Duncan and Sons,498651.4,2025-12-17,Rejected,False,-1
30413,Education,Payroll,Cain Inc,1958.44,2024-09-10,Approved,False,-1
31034,Education,Payroll,Carr-Mora,499026.01,2024-11-25,Pending,False,-1
31227,Defense,Inspection,"Herring, Johnson and Rhodes",498463.77,2025-07-18,Approved,False,-1
31308,Transportation,Procurement,Richardson-Cuevas,499290.46,2025-08-02,Approved,False,-1
31328,Education,Benefits,"Dawson, Bray and Lopez",498882.03,2024-03-03,Rejected,False,-1
31352,Defense,Payroll,Vega Group,498915.07,2025-11-08,Approved,False,-1
31425,Defense,Payroll,Gomez-Powers,606.56,2025-02-22,Rejected,False,-1
31576,Transportation,Procurement,Powers-Yang,498404.86,2025-05-17,Pending,False,-1
