transaction_id,agency,transaction_type,vendor_or_employee,amount,transaction_date,status,error_flag,is_anomaly,anomaly,approved_budget,budget_vs_actual_mismatch,budget_mismatch_flag,transaction_year,total_suspicious_transactions_kpi,total_estimated_financial_risk_kpi,average_suspicious_transaction_kpi
226090,Defense,Procurement,Porter Group,134645.45,2024-06-22,Approved,False,0,,133972.30349910058,673.1465008994273,False,2024,4976,1031550789.66,207305.22
254371,Education,Payroll,Hill Group,189830.57,2025-06-15,Approved,False,0,,176580.16885054306,13250.401149456942,False,2025,4976,1031550789.66,207305.22
5873,Transportation,Benefits,Roberts Inc,323724.13,2024-08-21,Rejected,False,0,,336158.09522688075,-12433.96522688074,False,2024,4976,1031550789.66,207305.22
126018,Health,Payroll,"Chase, Perry and Myers",219923.98,2024-11-11,Rejected,False,0,,209418.42339773147,10505.556602268538,False,2024,4976,1031550789.66,207305.22
37961,Defense,Procurement,"Ray, Fisher and Lara",463189.99,2025-01-19,Pending,False,0,,480977.7610905641,-17787.771090564085,False,2025,4976,1031550789.66,207305.22
236691,Education,Inspection,"Gould, Mitchell and Perez",485651.42,2025-07-16,Pending,False,0,,530968.7176192235,-45317.29761922354,False,2025,4976,1031550789.66,207305.22
498922,Health,Payroll,Johnson-Moran,193432.12,2024-12-27,Rejected,False,0,,208458.7281712405,-15026.608171240514,False,2024,4976,1031550789.66,207305.22
288919,Transportation,Payroll,Hill-Hawkins,121858.45,2025-01-17,Rejected,False,0,,113262.04546761994,8596.404532380053,False,2025,4976,1031550789.66,207305.22
373000,Health,Inspection,"Foster, Clark and Patterson",257079.31,2025-02-10,Pending,False,0,,225818.7825614226,31260.52743857741,False,2025,4976,1031550789.66,207305.22
27206,Transportation,Payroll,Glover Group,211603.91,2025-10-15,Rejected,False,0,,218755.43837446222,-7151.528374462214,False,2025,4976,1031550789.66,207305.22
31543,Transportation,Procurement,"Bryan, Rodriguez and Allen",434123.22,2024-05-29,Approved,False,0,,449066.2687627644,-14943.048762764432,False,2024,4976,1031550789.66,207305.22
332271,Health,Inspection,"Carlson, Wilson and Williams",376099.4,2025-04-10,Pending,False,0,,381522.773246034,-5423.373246033967,False,2025,4976,1031550789.66,207305.22
226277,Education,Inspection,"Phillips, Munoz and Pacheco",194776.96,2025-06-14,Rejected,False,0,,169078.16415591343,25698.795844086562,False,2025,4976,1031550789.66,207305.22
268609,Education,Inspection,Cunningham Group,392507.61,2025-09-02,Rejected,False,0,,362364.0952286711,30143.51477132889,False,2025,4976,1031550789.66,207305.22
217377,Education,Procurement,"Moon, Gardner and Freeman",460272.19,2025-03-07,Pending,False,0,,418987.94081106555,41284.24918893445,False,2025,4976,1031550789.66,207305.22
112714,Education,Inspection,Myers Group,2061.71,2025-03-20,Pending,False,1,-1.0,1889.1448811545945,172.56511884540555,False,2025,4976,1031550789.66,207305.22
254502,Defense,Benefits,Perez Group,74687.99,2024-09-14,Approved,False,0,,76212.22202728348,-1524.2320272834768,False,2024,4976,1031550789.66,207305.22
465079,Transportation,Inspection,"Terrell, Anderson and King",104044.56,2025-08-20,Rejected,False,0,,99090.30477708939,4954.255222910608,False,2025,4976,1031550789.66,207305.22
482538,Transportation,Inspection,Baldwin Group,480916.6,2024-11-13,Pending,False,0,,429269.14008963195,51647.45991036802,False,2024,4976,1031550789.66,207305.22
368974,Education,Inspection,Velazquez PLC,362631.21,2024-06-09,Rejected,False,0,,400445.22945982113,-37814.01945982111,False,2024,4976,1031550789.66,207305.22
469239,Defense,Inspection,"Vance, Lynch and Anderson",116022.7,2024-12-11,Rejected,False,0,,124663.60687671725,-8640.906876717258,False,2024,4976,1031550789.66,207305.22
329136,Transportation,Procurement,Lopez and Sons,21608.71,2024-04-03,Pending,False,0,,18458.023430134464,3150.6865698655347,False,2024,4976,1031550789.66,207305.22
104531,Transportation,Procurement,"Wood, Stokes and Hart",249992.66,2025-12-25,Pending,False,0,,265152.22102855775,-15159.561028557742,False,2025,4976,1031550789.66,207305.22
451695,Transportation,Inspection,Thomas-Wilson,471333.36,2025-02-05,Approved,False,0,,469920.75060950185,1412.609390498139,False,2025,4976,1031550789.66,207305.22
163605,Defense,Inspection,"Francis, West and Morgan",244148.04,2025-11-06,Approved,False,0,,255706.89981863496,-11558.859818634955,False,2025,4976,1031550789.66,207305.22
256445,Education,Inspection,Madden LLC,207574.11,2024-02-29,Approved,False,0,,208101.30797516796,-527.1979751679755,False,2024,4976,1031550789.66,207305.22
477625,Education,Inspection,Hernandez Group,224264.04,2025-10-05,Approved,False,0,,249673.88828713915,-25409.848287139146,False,2025,4976,1031550789.66,207305.22
92389,Defense,Benefits,Smith Group,294097.94,2025-09-12,Pending,False,0,,331808.0342708022,-37710.09427080222,False,2025,4976,1031550789.66,207305.22
285027,Defense,Procurement,Carey and Sons,88517.1,2024-06-28,Rejected,False,0,,77987.94107628411,10529.158923715891,False,2024,4976,1031550789.66,207305.22
219598,Transportation,Benefits,Cox and Sons,181287.49,2024-07-20,Approved,False,0,,175615.88705861312,5671.602941386867,False,2024,4976,1031550789.66,207305.22
51319,Defense,Procurement,Wilson-Hamilton,163708.58,2025-09-10,Pending,False,0,,173277.23727752586,-9568.657277525868,False,2025,4976,1031550789.66,207305.22
166523,Defense,Inspection,Adkins-Sullivan,372692.36,2024-10-04,Rejected,False,0,,360430.9181256999,12261.441874300072,False,2024,4976,1031550789.66,207305.22
477420,Health,Payroll,"Gibson, Johnson and Esparza",255026.15,2024-04-17,Pending,False,0,,261120.31662370512,-6094.166623705125,False,2024,4976,1031550789.66,207305.22
121479,Defense,Benefits,Moore-Becker,466384.71,2024-07-16,Approved,False,0,,426206.7725838393,40177.93741616071,False,2024,4976,1031550789.66,207305.22
36200,Transportation,Benefits,Thomas-Perkins,127153.3,2025-12-02,Rejected,False,0,,116738.99855957818,10414.301440421827,False,2025,4976,1031550789.66,207305.22
33422,Education,Procurement,Peterson-Davis,302353.09,2024-02-12,Rejected,False,0,,273393.768829858,28959.321170142037,False,2024,4976,1031550789.66,207305.22
453693,Health,Inspection,"Campbell, Anderson and Rowe",228701.78,2024-03-19,Rejected,False,0,,244651.70749146325,-15949.927491463255,False,2024,4976,1031550789.66,207305.22
38859,Defense,Benefits,Jones and Sons,475542.07,2024-03-21,Rejected,False,0,,421736.10080871236,53805.969191287644,False,2024,4976,1031550789.66,207305.22
63875,Education,Procurement,Smith LLC,460908.62,2024-07-28,Approved,False,0,,441425.2273049523,19483.392695047718,False,2024,4976,1031550789.66,207305.22
107729,Transportation,Procurement,Sims-Sanchez,185562.49,2025-03-17,Rejected,False,0,,203837.5412012396,-18275.051201239607,False,2025,4976,1031550789.66,207305.22
177959,Health,Inspection,"Burns, Fox and Baxter",143452.72,2025-11-23,Pending,False,0,,128974.3495483322,14478.370451667797,False,2025,4976,1031550789.66,207305.22
67133,Health,Inspection,"David, Sanders and Adams",93505.19,2025-03-19,Pending,False,0,,103530.4808707577,-10025.2908707577,False,2025,4976,1031550789.66,207305.22
59709,Transportation,Inspection,"Schmidt, Sparks and Thomas",302587.66,2025-02-20,Approved,False,0,,298168.69543859,4418.964561409957,False,2025,4976,1031550789.66,207305.22
103416,Education,Inspection,Scott PLC,186802.64,2025-11-29,Pending,False,0,,160148.75988222618,26653.880117773835,False,2025,4976,1031550789.66,207305.22
330702,Education,Procurement,Lin-Jones,249459.22,2025-12-27,Approved,False,0,,251684.36283816074,-2225.14283816074,False,2025,4976,1031550789.66,207305.22
317155,Transportation,Payroll,Gonzalez LLC,340612.98,2025-07-13,Approved,False,0,,384199.8530574744,-43586.87305747444,False,2025,4976,1031550789.66,207305.22
264906,Transportation,Procurement,"Johnson, Martinez and Anderson",265130.49,2025-08-04,Pending,False,0,,262132.9664323136,2997.5235676863813,False,2025,4976,1031550789.66,207305.22
158279,Health,Inspection,Taylor Group,489782.58,2024-02-28,Rejected,False,0,,478976.0015716436,10806.578428356443,False,2024,4976,1031550789.66,207305.22
453284,Defense,Payroll,"Taylor, Davis and Miller",283948.49,2025-06-29,Pending,False,0,,319980.70680660795,-36032.21680660796,False,2025,4976,1031550789.66,207305.22
112835,Education,Procurement,"Carlson, Herrera and Davis",401355.87,2024-05-08,Pending,False,0,,441337.4477122951,-39981.57771229511,False,2024,4976,1031550789.66,207305.22
302315,Transportation,Inspection,White-Vargas,383484.88,2025-06-08,Pending,False,0,,399604.20253131096,-16119.322531310958,False,2025,4976,1031550789.66,207305.22
35303,Health,Payroll,Davis PLC,19551.58,2025-05-24,Pending,False,0,,19575.774584839528,-24.194584839526215,False,2025,4976,1031550789.66,207305.22
180284,Defense,Benefits,Baldwin-Combs,231948.62,2025-01-10,Approved,False,0,,254324.68711986675,-22376.067119866755,False,2025,4976,1031550789.66,207305.22
481531,Defense,Inspection,"Gonzalez, Cherry and Gross",485239.09,2024-02-19,Pending,False,0,,498128.81384587835,-12889.723845878325,False,2024,4976,1031550789.66,207305.22
255394,Health,Payroll,"Baker, Ray and Miller",265668.41,2024-08-11,Rejected,False,0,,244498.56456743384,21169.84543256613,False,2024,4976,1031550789.66,207305.22
213157,Defense,Inspection,"Johnson, Johnson and Ward",286093.97,2025-01-27,Pending,False,0,,256922.84450004197,29171.125499957998,False,2025,4976,1031550789.66,207305.22
333557,Education,Inspection,"Aguilar, Cook and Bryant",126291.47,2025-04-13,Approved,False,0,,143451.4666720801,-17159.996672080102,False,2025,4976,1031550789.66,207305.22
430574,Defense,Inspection,Skinner-Roberts,131151.02,2024-11-24,Pending,False,0,,115215.77421094262,15935.245789057371,False,2024,4976,1031550789.66,207305.22
31965,Defense,Benefits,"Perry, Barnes and Lee",195577.43,2024-10-04,Approved,False,0,,210688.44926315555,-15111.019263155555,False,2024,4976,1031550789.66,207305.22
27752,Health,Procurement,Soto-Ellis,191390.15,2025-03-11,Rejected,False,0,,170468.33298963218,20921.817010367813,False,2025,4976,1031550789.66,207305.22
23522,Transportation,Payroll,"Underwood, Mccoy and Hubbard",40880.08,2024-09-27,Pending,False,0,,45263.12161718126,-4383.041617181261,False,2024,4976,1031550789.66,207305.22
465041,Health,Inspection,Davis LLC,350001.07,2025-11-06,Approved,False,0,,373851.927722678,-23850.85772267799,False,2025,4976,1031550789.66,207305.22
62929,Transportation,Payroll,"Adams, Black and Spears",378142.95,2024-11-14,Pending,False,0,,379213.84834400285,-1070.8983440028387,False,2024,4976,1031550789.66,207305.22
210970,Defense,Inspection,Martin-Miller,491336.03,2024-12-06,Approved,False,0,,472357.24007707456,18978.78992292547,False,2024,4976,1031550789.66,207305.22
220845,Education,Benefits,Phillips-Jones,177356.89,2024-06-30,Rejected,False,0,,197826.55843688012,-20469.668436880107,False,2024,4976,1031550789.66,207305.22
184443,Defense,Payroll,Cline Ltd,211783.8,2025-03-03,Approved,False,0,,191726.4953351334,20057.30466486659,False,2025,4976,1031550789.66,207305.22
199212,Health,Benefits,"Lucas, Rodriguez and Roach",276841.69,2025-10-10,Pending,False,0,,313593.0256254263,-36751.33562542632,False,2025,4976,1031550789.66,207305.22
427044,Transportation,Inspection,Gilbert-Santiago,46041.68,2025-08-09,Approved,False,0,,49446.61053049949,-3404.9305304994923,False,2025,4976,1031550789.66,207305.22
264139,Education,Payroll,Walker Ltd,52471.28,2024-09-12,Approved,False,0,,53312.06074011105,-840.7807401110476,False,2024,4976,1031550789.66,207305.22
301485,Health,Payroll,King-Turner,242529.8,2025-05-13,Rejected,False,0,,261727.24814408348,-19197.448144083493,False,2025,4976,1031550789.66,207305.22
26748,Health,Payroll,Hernandez-Carpenter,289373.16,2024-09-30,Pending,False,0,,331331.2494013606,-41958.0894013606,False,2024,4976,1031550789.66,207305.22
234099,Defense,Inspection,Sims LLC,231171.47,2024-10-23,Pending,False,0,,259289.94385148847,-28118.473851488467,False,2024,4976,1031550789.66,207305.22
43652,Health,Benefits,Burns LLC,118450.48,2024-07-23,Approved,False,0,,130975.90791761255,-12525.427917612556,False,2024,4976,1031550789.66,207305.22
72915,Defense,Procurement,"Daniels, Lambert and Mathis",24043.25,2025-09-17,Pending,False,0,,26243.258568246056,-2200.008568246056,False,2025,4976,1031550789.66,207305.22
122193,Health,Payroll,Garcia PLC,251250.78,2025-01-23,Pending,False,0,,285343.38217839255,-34092.60217839255,False,2025,4976,1031550789.66,207305.22
20938,Defense,Benefits,"Harris, Murphy and Wright",162924.21,2024-06-29,Approved,False,0,,146054.7113270417,16869.49867295829,False,2024,4976,1031550789.66,207305.22
286519,Health,Payroll,"Mcgee, Garrison and Hall",86315.71,2025-02-06,Rejected,False,0,,92947.74325144013,-6632.033251440123,False,2025,4976,1031550789.66,207305.22
112414,Health,Procurement,Torres LLC,2538.39,2024-05-24,Rejected,False,0,,2915.218377371079,-376.8283773710791,False,2024,4976,1031550789.66,207305.22
47384,Transportation,Inspection,"Allen, Walker and Lewis",229426.0,2024-08-17,Approved,False,0,,211486.30477797452,17939.695222025475,False,2024,4976,1031550789.66,207305.22
83294,Defense,Payroll,"Caldwell, Henderson and Gonzalez",90374.87,2024-08-07,Approved,False,0,,88518.07760181771,1856.7923981822823,False,2024,4976,1031550789.66,207305.22
269312,Education,Benefits,Barnett-King,117576.53,2024-09-22,Rejected,False,0,,119178.04733405837,-1601.5173340583715,False,2024,4976,1031550789.66,207305.22
142872,Health,Procurement,Armstrong LLC,88548.11,2024-05-22,Rejected,False,0,,82012.98256068834,6535.127439311662,False,2024,4976,1031550789.66,207305.22
220563,Health,Procurement,Bennett and Sons,399548.43,2025-06-30,Rejected,False,0,,448670.75651909504,-49122.32651909505,False,2025,4976,1031550789.66,207305.22
132475,Transportation,Procurement,Houston-Robinson,241370.5,2024-02-25,Approved,False,0,,235045.74089131155,6324.7591086884495,False,2024,4976,1031550789.66,207305.22
107139,Education,Inspection,"Brown, Clark and Rogers",441982.46,2025-12-06,Approved,False,0,,406798.91168371856,35183.54831628146,False,2025,4976,1031550789.66,207305.22
156467,Health,Payroll,"Landry, Anderson and Peterson",33584.69,2025-12-29,Rejected,False,0,,29131.536579243853,4453.153420756149,False,2025,4976,1031550789.66,207305.22
376803,Transportation,Procurement,Jackson-Shaw,281343.99,2025-02-06,Pending,False,0,,273926.9216312394,7417.068368760578,False,2025,4976,1031550789.66,207305.22
405106,Health,Inspection,"Taylor, Richardson and Bauer",153969.75,2025-02-13,Approved,False,0,,144062.9254212683,9906.8245787317,False,2025,4976,1031550789.66,207305.22
340169,Education,Benefits,Smith Group,210946.19,2024-03-17,Pending,False,0,,180218.7814620661,30727.408537933894,False,2024,4976,1031550789.66,207305.22
77134,Defense,Inspection,May-Thomas,262718.55,2025-12-18,Approved,False,0,,243092.2999434339,19626.25005656609,False,2025,4976,1031550789.66,207305.22
245873,Defense,Benefits,Rodriguez Group,245605.66,2025-11-15,Pending,False,0,,262707.1124732625,-17101.45247326247,False,2025,4976,1031550789.66,207305.22
15769,Transportation,Procurement,"Roy, Cooper and Brady",159318.69,2025-12-08,Rejected,False,0,,161745.06870675297,-2426.378706752963,False,2025,4976,1031550789.66,207305.22
334982,Education,Procurement,Gillespie Group,246967.7,2024-10-07,Rejected,False,0,,267011.15816062264,-20043.458160622627,False,2024,4976,1031550789.66,207305.22
164534,Education,Procurement,Welch-Moran,282942.13,2024-11-22,Rejected,False,0,,281790.92508261773,1151.2049173822743,False,2024,4976,1031550789.66,207305.22
404989,Defense,Benefits,Fowler-Pena,359449.74,2025-10-29,Pending,False,0,,336911.8197502398,22537.92024976021,False,2025,4976,1031550789.66,207305.22
